fiscalyear,school,traveler_type,total_trips,total_emissions,percapita_trips,percapita_emissions
FY17-18,JHHCG PEDIATRICS AT HOME,Regular,2,0.2414717248,1.161588588553706e-05,5.078591159682258e-06
FY17-18,JHHCG PHARMAQUIP,Regular,4,0.615388609,2.323177177107412e-05,1.294274578949196e-05
FY17-18,JHHCG PHARMAQUIP,Regular Nurses,2,0.5193723736,1.161588588553706e-05,1.0923349089144165e-05
FY17-18,JHMMC INTRASTAFF DIVISION,Regular,6,0.8628450856000001,3.484765765661118e-05,1.8147207204209446e-05
FY17-18,JHPEIGO,Faculty,18,9.696066842,0.00010454297296983354,0.00020392598507446228
FY17-18,JHPEIGO,Sr Staff-Admin,412,215.1295945549,0.0023928724924206345,0.004524568075195789
FY17-18,JHPEIGO,Sr Staff-Appt,756,371.6175632987,0.004390804864733009,0.007815795714030696
FY17-18,JHPEIGO,Sr Staff-Non Ad,520,247.86099128290002,0.0030201303302396358,0.005212969096907768
FY17-18,JHPEIGO,Staff-Admin,96,44.387153328000004,0.0005575625225057789,0.0009335428596526168
FY17-18,JHPEIGO,Staff-Non Admin,23,6.3171275784,0.0001335826876836762,0.00013286072438012928
FY17-18,JHU PRESS BOOK DIVISION,Sr Staff-Admin,68,7.6925259166,0.00039494012010826007,0.00016178786211109805
FY17-18,JHU PRESS BOOK DIVISION,Staff-Admin,2,0.4917649799,1.161588588553706e-05,1.0342715204564867e-05
FY17-18,JHU PRESS MUSE,Sr Staff-Admin,24,2.6016738268,0.00013939063062644473,5.471794972312712e-05
FY17-18,JHU PRESS MUSE,Staff-Admin,1,0.4034248392,5.80794294276853e-06,8.484760787849211e-06
FY17-18,JOHNS HOPKINS IMAGING LLC,Regular,14,1.5279331552000002,8.131120119875943e-05,3.2135223372472215e-05
FY17-18,Johns Hopkins HealthCare,Regular,117,30.795006373099998,0.000679529324303918,0.0006476751978241736
FY17-18,Johns Hopkins Hospital,Non-employees,5,0.258905567,2.903971471384265e-05,5.4452566852196616e-06
FY17-18,Johns Hopkins Hospital,Regular,161,51.8828304478,0.0009350788137857333,0.001091190632235425
FY17-18,Johns Hopkins Hospital,Regular Nurses,122,48.286447949700005,0.0007085690390177607,0.0010155521433944878
FY17-18,Johns Hopkins International,Regular,450,189.8788457444,0.0026135743242458385,0.003993498734507655
FY17-18,Johns Hopkins International,Trustee,13,5.0498052964,7.550325825599089e-05,0.00010620662339516151
FY17-18,Krieger School of Arts and Sciences,Deans/Executive,98,22.310184695900002,0.0005691784083913159,0.0004692239095957132
FY17-18,Krieger School of Arts and Sciences,Faculty,601,177.4630885435,0.003490573708603887,0.0037323726966103517
FY17-18,Krieger School of Arts and Sciences,Graduate Stud,78,24.4001041884,0.0004530195495359454,0.0005131787315022908
FY17-18,Krieger School of Arts and Sciences,NON EMPLOYEE,21,6.0487096171,0.00012196680179813913,0.0001272154046786728
FY17-18,Krieger School of Arts and Sciences,Non-employees,14,1.4330878495,8.131120119875943e-05,3.014045346115305e-05
FY17-18,Krieger School of Arts and Sciences,Postdocs,28,8.5944711552,0.00016262240239751886,0.00018075741690707004
FY17-18,Krieger School of Arts and Sciences,Sr Staff-Admin,117,21.6557997069,0.000679529324303918,0.00045546099875007795
FY17-18,Krieger School of Arts and Sciences,Sr Staff-Appt,6,2.6236028489999996,3.484765765661118e-05,5.517915708965269e-05
FY17-18,Krieger School of Arts and Sciences,Sr Staff-Non Ad,86,24.8551068016,0.0004994830930780936,0.0005227482670284223
FY17-18,Krieger School of Arts and Sciences,Staff-Admin,27,6.044883702,0.0001568144594547503,0.00012713493870022068
FY17-18,Krieger School of Arts and Sciences,Visit Faculty,2,0.8068496784,1.161588588553706e-05,1.6969521575698423e-05
FY17-18,NANJING CENTER,Faculty,10,4.9651659192,5.80794294276853e-05,0.00010442650279029584
FY17-18,NANJING CENTER,Sr Staff-Admin,41,9.6374147174,0.00023812566065350974,0.00020269242382940614
FY17-18,NANJING CENTER,Staff-Admin,39,7.280045659000001,0.0002265097747679727,0.00015311264934436165
FY17-18,NITZE SCH ADV INT STUDIES-SAIS,Deans/Executive,66,24.6958488521,0.000383324234222723,0.0005193987816379083
FY17-18,NITZE SCH ADV INT STUDIES-SAIS,Faculty,507,176.58807102720002,0.0029446270719836447,0.0037139694809687324
FY17-18,NITZE SCH ADV INT STUDIES-SAIS,Graduate Stud,38,17.2030233816,0.00022070183182520416,0.00036181098444533467
FY17-18,NITZE SCH ADV INT STUDIES-SAIS,Postdocs,2,2.2763747956000007,1.161588588553706e-05,4.787631728987289e-05
FY17-18,NITZE SCH ADV INT STUDIES-SAIS,Sr Staff-Admin,153,44.4607683313,0.0008886152702435851,0.000935091117550261
FY17-18,NITZE SCH ADV INT STUDIES-SAIS,Sr Staff-Appt,3,2.3493546621999997,1.742382882830559e-05,4.941121710332527e-05
FY17-18,NITZE SCH ADV INT STUDIES-SAIS,Staff-Admin,27,8.0357999729,0.0001568144594547503,0.00016900754213416237
FY17-18,NITZE SCH ADV INT STUDIES-SAIS,Staff-Non Admin,1,0.7649290044000001,5.80794294276853e-06,1.6087853278672532e-05
FY17-18,PEABODY INSTITUTE,Deans/Executive,39,14.444840381299999,0.0002265097747679727,0.00030380136110864215
FY17-18,PEABODY INSTITUTE,Faculty,117,11.3674293528,0.000679529324303918,0.00023907778961391129
FY17-18,PEABODY INSTITUTE,Sr Staff-Admin,34,5.3504121291,0.00019747006005413004,0.00011252893382034594
FY17-18,PEABODY INSTITUTE,Staff-Admin,71,8.3049248509,0.0004123639489365657,0.00017466772958423923
FY17-18,PEDIATRIC PHYSICIANS SERVICES,Providers,4,0.35065343759999995,2.323177177107412e-05,7.374881882268121e-06
FY17-18,School of Education,Deans/Executive,6,5.3818167068000005,3.484765765661118e-05,0.00011318942941589807
FY17-18,School of Education,Faculty,102,18.636536113400002,0.0005924101801623901,0.0003919603739568451
FY17-18,School of Education,Postdocs,2,1.1635863943999998,1.161588588553706e-05,2.4472345907252124e-05
FY17-18,School of Education,Sr Staff-Admin,62,5.6325720315000005,0.00036009246245164887,0.00011846327162793941
FY17-18,School of Education,Sr Staff-Appt,2,0.20530300740000004,1.161588588553706e-05,4.3178970096867475e-06
FY17-18,School of Education,Staff-Admin,36,3.1184299037,0.00020908594593966709,6.558627331683189e-05
FY17-18,School of Medicine (SOM),Deans/Executive,25,4.4683856366,0.00014519857356921326,9.39783066149198e-05
FY17-18,School of Medicine (SOM),Faculty,2321,694.0717431981,0.013480235570165758,0.01459759573138695
FY17-18,School of Medicine (SOM),Graduate Stud,21,5.0730106608000005,0.00012196680179813913,0.00010669467456801273
FY17-18,School of Medicine (SOM),Med Intern/Res,27,5.8310592719,0.0001568144594547503,0.00012263782061598376
FY17-18,School of Medicine (SOM),Med Students,2,0.4615810143,1.161588588553706e-05,9.707891309604584e-06
FY17-18,School of Medicine (SOM),Med Trainees,8,1.5645712976000001,4.646354354214824e-05,3.2905790387115164e-05
FY17-18,School of Medicine (SOM),Non-employees,118,36.1233561787,0.0006853372672466865,0.0007597401207083243
FY17-18,School of Medicine (SOM),Postdocs,45,9.3515241398,0.00026135743242458386,0.0001966796231123103
FY17-18,School of Medicine (SOM),Regular,4,0.33306444800000007,2.323177177107412e-05,7.004953323699667e-06
FY17-18,School of Medicine (SOM),SOM NONEMP,3,0.7597777779,1.742382882830559e-05,1.597951358222944e-05
FY17-18,School of Medicine (SOM),Sr Staff-Admin,493,93.80041582620001,0.0028633158707848856,0.001972793969911044
FY17-18,School of Medicine (SOM),Sr Staff-Appt,40,21.812857949799998,0.0002323177177107412,0.0004587642202954071
FY17-18,School of Medicine (SOM),Sr Staff-Non Ad,500,172.79059430700002,0.002903971471384265,0.003634101613555765
FY17-18,School of Medicine (SOM),Staff-Admin,70,8.4587891745,0.0004065560059937971,0.0001779037771764476
FY17-18,School of Medicine (SOM),Staff-Non Admin,32,5.5500763151,0.00018585417416859296,0.00011672823612277747
FY17-18,School of Medicine (SOM),Visiting Scientist,11,5.8514075564,6.388737237045383e-05,0.00012306578218316928
FY17-18,School of Nursing (SON),Deans/Executive,6,1.0868829682,3.484765765661118e-05,2.28591328383543e-05
FY17-18,School of Nursing (SON),Faculty,216,73.5155570888,0.0012545156756380025,0.0015461663622916067
FY17-18,School of Nursing (SON),Graduate Stud,6,1.579325994,3.484765765661118e-05,3.321610858591421e-05
FY17-18,School of Nursing (SON),Sr Staff-Admin,36,6.0677757911,0.00020908594593966709,0.00012761640112165411
FY17-18,School of Nursing (SON),Sr Staff-Non Ad,17,6.576895873,9.873503002706502e-05,0.00013832412580161652
FY17-18,School of Nursing (SON),Staff-Admin,4,2.621738924,2.323177177107412e-05,5.513995534445809e-05
FY17-18,School of Nursing (SON),Staff-Non Admin,7,3.524949183,4.0655600599379715e-05,7.413611582863467e-05
FY17-18,Sheridan Libraries,Deans/Executive,6,0.37215565780000004,3.484765765661118e-05,7.827112823641104e-06
FY17-18,Sheridan Libraries,Sr Staff-Admin,27,5.1716873081,0.0001568144594547503,0.00010877002458698465
FY17-18,Sheridan Libraries,Sr Staff-Non Ad,1,0.5817931971999999,5.80794294276853e-06,1.2236172953626062e-05
FY17-18,Suburban Hospital,Regular,2,0.15898623260000003,1.161588588553706e-05,3.343770688109763e-06
FY17-18,U-WIDE STUDENT AFFAIRS,Deans/Executive,18,2.4134170572,0.00010454297296983354,5.075856621090525e-05
FY17-18,U-WIDE STUDENT AFFAIRS,Sr Staff-Admin,1,0.3823823048,5.80794294276853e-06,8.042197877969547e-06
FY17-18,U-WIDE STUDENT AFFAIRS,Staff-Admin,7,0.5448726204000001,4.0655600599379715e-05,1.1459665827989923e-05
FY17-18,Unavailable,Unavailable,17393,5727.9811591439,0.10101755160357305,0.12046989974395023
FY17-18,University Administration,Deans/Executive,213,46.2803758337,0.0012370918468096969,0.0009733607848723214
FY17-18,University Administration,Faculty,42,16.3796812326,0.00024393360359627826,0.00034449459610724466
FY17-18,University Administration,Sr Staff-Admin,928,194.9702306613,0.005389771050889196,0.004100579853222173
FY17-18,University Administration,Staff-Admin,15,3.3696868249,8.711914414152795e-05,7.087066501889216e-05
FY17-18,University Administration,Staff-Non Admin,99,19.9223246271,0.0005749863513340845,0.0004190028535030789
FY17-18,Whiting School of Engineering,Deans/Executive,78,18.5546383445,0.0004530195495359454,0.00039023791437911294
FY17-18,Whiting School of Engineering,Faculty,392,98.7290713532,0.0022767136335652637,0.0020764525925066
FY17-18,Whiting School of Engineering,Graduate Stud,48,15.618122617300001,0.00027878126125288947,0.00032847762826371837
FY17-18,Whiting School of Engineering,Postdocs,13,6.135954480300001,7.550325825599089e-05,0.00012905032341022283
FY17-18,Whiting School of Engineering,Sr Staff-Admin,141,20.8808942737,0.0008189199549303627,0.00043916332296257607
FY17-18,Whiting School of Engineering,Staff-Admin,6,1.6234638018,3.484765765661118e-05,3.414440725395286e-05
FY17-18,Whiting School of Engineering,Undergrad Stud,6,3.2789294752,3.484765765661118e-05,6.896187228448663e-05
FY18-19,All Children’s Hospital,Regular,30,2.4164408267999997,0.0001742382882830559,5.082216160524051e-05
FY18-19,BIOETHICS INSTITUTE,Faculty,4,0.6981343078,2.323177177107412e-05,1.4683038880848595e-05
FY18-19,BOLOGNA CENTER,Faculty,4,1.4294837046000002,2.323177177107412e-05,3.0064651714830525e-05
FY18-19,BOLOGNA CENTER,Sr Staff-Admin,4,0.1742181044,2.323177177107412e-05,3.6641247566159783e-06
FY18-19,Bloomberg School of Public Health,Deans/Executive,28,14.1437935598,0.00016262240239751886,0.00029746979691582973
FY18-19,Bloomberg School of Public Health,Faculty,262,90.3613220667,0.0015216810510053549,0.0019004635503607579
FY18-19,Bloomberg School of Public Health,Graduate Stud,4,1.389573435,2.323177177107412e-05,2.9225265892167542e-05
FY18-19,Bloomberg School of Public Health,Sr Staff-Admin,188,24.526029024,0.0010918932732404837,0.0005158271606605796
FY18-19,Bloomberg School of Public Health,Sr Staff-Non Ad,245,83.2010503816,0.0014229460209782899,0.0017498699663252328
FY18-19,Bloomberg School of Public Health,Staff-Admin,6,1.1632236226000001,3.484765765661118e-05,2.4464716154087497e-05
FY18-19,Bloomberg School of Public Health,Staff-Non Admin,13,1.1830293069,7.550325825599089e-05,2.488126584859416e-05
FY18-19,CENTER FOR TALENTED YOUTH,Deans/Executive,27,11.3446766619,0.0001568144594547503,0.000238599258991084
FY18-19,CENTER FOR TALENTED YOUTH,Non-employees,115,37.1318759062,0.0006679134384183809,0.0007809511315489884
FY18-19,CENTER FOR TALENTED YOUTH,Sr Staff-Admin,294,85.6363473357,0.0017075352251739479,0.0018010887067079302
FY18-19,CENTER FOR TALENTED YOUTH,Sr Staff-Non Ad,2,0.10655338199999999,1.161588588553706e-05,2.2410121280561894e-06
FY18-19,CENTER FOR TALENTED YOUTH,Staff-Admin,48,10.6543330443,0.00027878126125288947,0.00022408007254641737
FY18-19,CGEPI,Deans/Executive,8,2.9514332977,4.646354354214824e-05,6.207402985383021e-05
FY18-19,CGEPI,Sr Staff-Admin,8,1.7186485177000002,4.646354354214824e-05,3.6146315581343944e-05
FY18-19,Carey Business School,Deans/Executive,14,12.7147870164,8.131120119875943e-05,0.00026741518077205446
FY18-19,Carey Business School,Faculty,56,14.4604408426,0.0003252448047950377,0.00030412946728716376
FY18-19,Carey Business School,Sr Staff-Admin,42,15.4832564684,0.00024393360359627826,0.00032564114696508506
FY18-19,Carey Business School,Staff-Admin,20,4.869055548,0.0001161588588553706,0.00010240512624223675
FY18-19,EMRS PROJECT,Regular,186,10.945273223500001,0.0010802773873549467,0.0002301990756028013
FY18-19,HUMAN LANGUAGE TECHNOLOGY COE,Faculty,6,1.3914350501,3.484765765661118e-05,2.926441905594861e-05
FY18-19,Homewood Student Affairs,Deans/Executive,170,30.198094638100002,0.00098735030027065,0.0006351210544229436
FY18-19,Homewood Student Affairs,Graduate Stud,3,0.149972678,1.742382882830559e-05,3.1541991813555545e-06
FY18-19,Homewood Student Affairs,Sr Staff-Admin,160,24.657248991400003,0.0009292708708429648,0.000518586956106458
FY18-19,Homewood Student Affairs,Sr Staff-Appt,206,18.1769084696,0.0011964362462103173,0.0003822935655945756
FY18-19,Homewood Student Affairs,Sr Staff-Non Ad,53,7.2041479202000005,0.0003078209759667321,0.0001515163813522031
FY18-19,Homewood Student Affairs,Staff-Admin,509,74.98891287960001,0.002956242957869182,0.001577153724064175
FY18-19,Homewood Student Affairs,Staff-Non Admin,12,1.3755644606000001,6.969531531322237e-05,2.8930631588283805e-05
FY18-19,Homewood Student Affairs,Undergrad Stud,4,1.6901350544,2.323177177107412e-05,3.5546625399119734e-05
FY18-19,Howard County General Hospital,Regular,4,0.2464156502,2.323177177107412e-05,5.182570935580924e-06
FY18-19,INSTITUTION WIDE FUNDS,Deans/Executive,6,1.8436206172,3.484765765661118e-05,3.8774706960306876e-05
FY18-19,INSTITUTION WIDE FUNDS,Sr Staff-Admin,6,0.6656084828,3.484765765661118e-05,1.3998961407831049e-05
FY18-19,JH Bayview Medical Center,Regular,51,9.4632452053,0.00029620509008119507,0.00019902932105756048
FY18-19,JH Bayview Medical Center,Regular Nurses,20,0.9537699384,0.0001161588588553706,2.0059522834571358e-05
FY18-19,JH Community Physicians,Providers,10,2.8275707386,5.80794294276853e-05,5.946897413485569e-05
FY18-19,JH Community Physicians,Regular,2,0.20530300740000004,1.161588588553706e-05,4.3178970096867475e-06
FY18-19,JH HEALTH SYSTEM CORPORATION,Intrastaff Clerical,2,0.161328092,1.161588588553706e-05,3.3930242661670253e-06
FY18-19,JH HEALTH SYSTEM CORPORATION,Regular,461,96.4253174427,0.0026774616966162923,0.0020280004424520167
FY18-19,JH HEALTH SYSTEM CORPORATION,Regular Nurses,4,1.7857973331,2.323177177107412e-05,3.7558577743947154e-05
FY18-19,JH HEALTH SYSTEM CORPORATION,Sr Staff-Admin,17,3.674065111,9.873503002706502e-05,7.727229599356228e-05
FY18-19,JH TECHNOLOGY VENTURES,Deans/Executive,8,0.8049478964000001,4.646354354214824e-05,1.692952362868893e-05
FY18-19,JH TECHNOLOGY VENTURES,Sr Staff-Admin,18,1.8836152837000002,0.00010454297296983354,3.961586780383658e-05
FY18-19,JH TECHNOLOGY VENTURES,Staff-Admin,4,0.8714319034000001,2.323177177107412e-05,1.832780365708608e-05
FY18-19,JHBMC GRANT COMPANY,Regular,18,3.2486494183000003,0.00010454297296983354,6.832502741408044e-05
FY18-19,JHHCG CORP (GROUP),Regular,4,3.0620777869,2.323177177107412e-05,6.44010854342883e-05
FY18-19,JHHCG HOME HEALTH SERVICES,Regular Nurses,4,3.0620777869,2.323177177107412e-05,6.44010854342883e-05
FY18-19,JHHCG PHARMAQUIP,Regular,2,0.20530300740000004,1.161588588553706e-05,4.3178970096867475e-06
FY18-19,JHHCG PHARMAQUIP,Regular Nurses,2,0.20530300740000004,1.161588588553706e-05,4.3178970096867475e-06
FY18-19,JHMMC INTRASTAFF DIVISION,Regular,4,0.7743748416,2.323177177107412e-05,1.628651647760172e-05
FY18-19,JHPEIGO,Faculty,20,13.688168627200001,0.0001161588588553706,0.00028788717287672245
FY18-19,JHPEIGO,Sr Staff-Admin,390,212.2731782937,0.002265097747679727,0.004464492427065483
FY18-19,JHPEIGO,Sr Staff-Appt,903,412.46065741710004,0.0052445724773199824,0.008674800539111469
FY18-19,JHPEIGO,Sr Staff-Non Ad,560,273.5987714811,0.003252448047950377,0.005754281596715711
FY18-19,JHPEIGO,Staff-Admin,75,37.8551036756,0.0004355957207076398,0.0007961619317333732
FY18-19,JHPEIGO,Staff-Non Admin,28,17.1212744696,0.00016262240239751886,0.0003600916555999358
FY18-19,JHU PRESS BOOK DIVISION,Sr Staff-Admin,32,3.6927446687,0.00018585417416859296,7.766516119001775e-05
FY18-19,JHU PRESS BOOK DIVISION,Staff-Admin,2,0.1061642928,1.161588588553706e-05,2.2328288719292682e-06
FY18-19,JHU PRESS MUSE,Sr Staff-Admin,23,1.6752987319,0.0001335826876836762,3.523459045443583e-05
FY18-19,JOHNS HOPKINS IMAGING LLC,Regular,8,2.0099072299,4.646354354214824e-05,4.227201796817411e-05
FY18-19,Johns Hopkins HealthCare,Regular,206,28.748255956,0.0011964362462103173,0.00060462830037492
FY18-19,Johns Hopkins Hospital,Non-employees,2,0.1868283388,1.161588588553706e-05,3.929341005012781e-06
FY18-19,Johns Hopkins Hospital,Regular,123,30.0923127321,0.0007143769819605292,0.0006328962678434345
FY18-19,Johns Hopkins Hospital,Regular Nurses,75,23.3520579485,0.0004355957207076398,0.0004911364059533975
FY18-19,Johns Hopkins Hospital,Sr Staff-Admin,2,0.1734276989,1.161588588553706e-05,3.6475010861295526e-06
FY18-19,Johns Hopkins International,Regular,135,55.5598090522,0.0007840722972737515,0.0011685242043135361
FY18-19,Johns Hopkins International,Trustee,2,0.3305924853,1.161588588553706e-05,6.952963435750332e-06
FY18-19,Krieger School of Arts and Sciences,Deans/Executive,81,20.4610128951,0.0004704433783642509,0.00043033245111106085
FY18-19,Krieger School of Arts and Sciences,Faculty,626,175.4179626426,0.0036357722821730998,0.003689359965702207
FY18-19,Krieger School of Arts and Sciences,Graduate Stud,84,27.4109734253,0.0004878672071925565,0.0005765028076530055
FY18-19,Krieger School of Arts and Sciences,NON EMPLOYEE,17,3.5720115172,9.873503002706502e-05,7.512592262535214e-05
FY18-19,Krieger School of Arts and Sciences,Postdocs,67,19.4269890298,0.0003891321771654915,0.0004085850416967183
FY18-19,Krieger School of Arts and Sciences,Sr Staff-Admin,96,19.4831701614,0.0005575625225057789,0.0004097666334483862
FY18-19,Krieger School of Arts and Sciences,Sr Staff-Non Ad,72,19.2014452831,0.00041817189187933417,0.00040384144499171703
FY18-19,Krieger School of Arts and Sciences,Staff-Admin,63,14.179364403000001,0.0003659004053944174,0.0002982179166800282
FY18-19,Krieger School of Arts and Sciences,Staff-Non Admin,4,0.5278439396,2.323177177107412e-05,1.110152158628394e-05
FY18-19,Krieger School of Arts and Sciences,Student,3,1.876308771,1.742382882830559e-05,3.946219850430654e-05
FY18-19,NANJING CENTER,Faculty,29,12.777015206400002,0.00016843034534028738,0.0002687239532002913
FY18-19,NANJING CENTER,Sr Staff-Admin,8,2.2511483861,4.646354354214824e-05,4.7345759849314005e-05
FY18-19,NANJING CENTER,Staff-Admin,8,0.4453211762,4.646354354214824e-05,9.36591723333988e-06
FY18-19,NITZE SCH ADV INT STUDIES-SAIS,Deans/Executive,40,16.036482442,0.0002323177177107412,0.00033727649905924284
FY18-19,NITZE SCH ADV INT STUDIES-SAIS,Faculty,569,179.4736366844,0.0033047195344352936,0.0037746581941067872
FY18-19,NITZE SCH ADV INT STUDIES-SAIS,Graduate Stud,72,28.487549524000002,0.00041817189187933417,0.0005991451682114166
FY18-19,NITZE SCH ADV INT STUDIES-SAIS,Sr Staff-Admin,150,46.4240392115,0.0008711914414152795,0.0009763822879533528
FY18-19,NITZE SCH ADV INT STUDIES-SAIS,Staff-Admin,33,5.7265865632,0.0001916621171113615,0.0001204405688455277
FY18-19,NITZE SCH ADV INT STUDIES-SAIS,Staff-Non Admin,14,7.7388922522,8.131120119875943e-05,0.00016276303078676828
FY18-19,NITZE SCH ADV INT STUDIES-SAIS,Visiting Faculty,6,0.2906507722,3.484765765661118e-05,6.112916298884786e-06
FY18-19,PEABODY INSTITUTE,Deans/Executive,47,27.0979301942,0.0002729733183101209,0.0005699189370678278
FY18-19,PEABODY INSTITUTE,Faculty,63,11.4540914605,0.0003659004053944174,0.00024090045193352318
FY18-19,PEABODY INSTITUTE,Sr Staff-Admin,24,7.2296560344,0.00013939063062644473,0.00015205286355683215
FY18-19,PEABODY INSTITUTE,Staff-Admin,88,6.7368114943,0.0005110989789636306,0.00014168744323061133
FY18-19,School of Education,Deans/Executive,20,4.1128777562000005,0.0001161588588553706,8.650132693917429e-05
