date,year,month,fiscalyear,Business Area Code,school,PersonnelArea,PersonnelAreaTotal,total_emissions_epa,total_trips
2018-02-28,2018,2,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,62367.57520061,224
2018-02-28,2018,2,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,5993.26640162,20
2018-02-28,2018,2,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,121959.01980263,239
2018-02-28,2018,2,FY17-18,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,648.01116535,5
2018-03-31,2018,3,FY17-18,101.0,University Administration,University Administration,2199.0,20915.39474519,76
2018-03-31,2018,3,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,12014.53306168,76
2018-03-31,2018,3,FY17-18,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,200.50598168,2
2018-03-31,2018,3,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,32209.73648394,106
2018-03-31,2018,3,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,18523.6474129,69
2018-03-31,2018,3,FY17-18,125.0,School of Education,School of Education,253.0,13070.14688785,33
2018-03-31,2018,3,FY17-18,126.0,Carey Business School,Carey Business School,338.0,23067.75869173,32
2018-03-31,2018,3,FY17-18,130.0,Sheridan Libraries,Libraries,160.0,884.50063161,3
2018-03-31,2018,3,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,1553.65827438,10
2018-03-31,2018,3,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,54283.96000436,110
2018-03-31,2018,3,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,10442.76284304,48
2018-03-31,2018,3,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,7016.22157549,27
2018-03-31,2018,3,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,76630.89234383,266
2018-03-31,2018,3,FY17-18,210.0,BIOETHICS INSTITUTE,Academic and Business Centers,794.0,1463.63379201,3
2018-03-31,2018,3,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,23871.49266183,67
2018-03-31,2018,3,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,140442.94159373,224
2018-03-31,2018,3,FY17-18,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,496.29358154,4
2018-03-31,2018,3,FY17-18,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,829.42090726,5
2018-04-30,2018,4,FY17-18,101.0,University Administration,University Administration,2199.0,23332.98777207,90
2018-04-30,2018,4,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,11507.69345705,61
2018-04-30,2018,4,FY17-18,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,79.38320481,1
2018-04-30,2018,4,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,23702.25733964,88
2018-04-30,2018,4,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,9245.07027141,55
2018-04-30,2018,4,FY17-18,125.0,School of Education,School of Education,253.0,2092.5487175999997,10
2018-04-30,2018,4,FY17-18,126.0,Carey Business School,Carey Business School,338.0,158.90702325,3
2018-04-30,2018,4,FY17-18,130.0,Sheridan Libraries,Libraries,160.0,866.81506418,2
2018-04-30,2018,4,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,790.57979058,6
2018-04-30,2018,4,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,25496.86389346,88
2018-04-30,2018,4,FY17-18,141.0,BOLOGNA CENTER,SAIS,195.0,5439.32576275,12
2018-04-30,2018,4,FY17-18,142.0,NANJING CENTER,SAIS,195.0,2670.9969534599995,4
2018-04-30,2018,4,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,43998.34878205,91
2018-04-30,2018,4,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,8703.93454581,20
2018-04-30,2018,4,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,175377.9156096,493
2018-04-30,2018,4,FY17-18,210.0,BIOETHICS INSTITUTE,Academic and Business Centers,794.0,1713.27743768,4
2018-04-30,2018,4,FY17-18,211.0,HUMAN LANGUAGE TECHNOLOGY COE,Academic and Business Centers,794.0,1532.92910197,8
2018-04-30,2018,4,FY17-18,212.0,CGEPI,Academic and Business Centers,794.0,158.76640962,2
2018-04-30,2018,4,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,3887.94905814,20
2018-04-30,2018,4,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,96173.87072742,200
2018-04-30,2018,4,FY17-18,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,130.6799686,2
2018-04-30,2018,4,FY17-18,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,200.50598168,2
2018-05-31,2018,5,FY17-18,101.0,University Administration,University Administration,2199.0,26269.93501778,100
2018-05-31,2018,5,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,11469.74138144,57
2018-05-31,2018,5,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,37350.91143043,108
2018-05-31,2018,5,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,12405.13054366,41
2018-05-31,2018,5,FY17-18,125.0,School of Education,School of Education,253.0,3597.9810486799997,21
2018-05-31,2018,5,FY17-18,126.0,Carey Business School,Carey Business School,338.0,1573.8839592,4
2018-05-31,2018,5,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,3780.27529572,14
2018-05-31,2018,5,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,43118.51561616,87
2018-05-31,2018,5,FY17-18,141.0,BOLOGNA CENTER,SAIS,195.0,4314.824859769999,8
2018-05-31,2018,5,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,23666.65033676,60
2018-05-31,2018,5,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,10920.30945095,19
2018-05-31,2018,5,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,141017.22131526,427
2018-05-31,2018,5,FY17-18,212.0,CGEPI,Academic and Business Centers,794.0,921.7269593599999,4
2018-05-31,2018,5,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,10945.170850030001,22
2018-05-31,2018,5,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,120403.15706932,223
2018-05-31,2018,5,FY17-18,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,464.04316231999996,8
2018-05-31,2018,5,FY17-18,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,736.48889766,5
2018-06-30,2018,6,FY17-18,101.0,University Administration,University Administration,2199.0,31944.34411033,109
2018-06-30,2018,6,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,10238.95924474,64
2018-06-30,2018,6,FY17-18,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,1354.29534554,10
2018-06-30,2018,6,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,41733.66628707,117
2018-06-30,2018,6,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,22410.20847831,70
2018-06-30,2018,6,FY17-18,125.0,School of Education,School of Education,253.0,6868.33231148,47
2018-06-30,2018,6,FY17-18,126.0,Carey Business School,Carey Business School,338.0,1942.19191095,6
2018-06-30,2018,6,FY17-18,130.0,Sheridan Libraries,Libraries,160.0,705.48132164,4
2018-06-30,2018,6,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,1025.94434772,6
2018-06-30,2018,6,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,41391.45350566,107
2018-06-30,2018,6,FY17-18,142.0,NANJING CENTER,SAIS,195.0,6405.863114690001,13
2018-06-30,2018,6,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,30158.57807219,85
2018-06-30,2018,6,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,12763.06937334,33
2018-06-30,2018,6,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,100829.88324983,297
2018-06-30,2018,6,FY17-18,211.0,HUMAN LANGUAGE TECHNOLOGY COE,Academic and Business Centers,794.0,1691.8315893,6
2018-06-30,2018,6,FY17-18,212.0,CGEPI,Academic and Business Centers,794.0,237.17439078,2
2018-06-30,2018,6,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,12123.245550650001,31
2018-06-30,2018,6,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,79302.3519615,153
2018-06-30,2018,6,FY17-18,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,4144.78667913,19
2018-06-30,2018,6,FY17-18,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,981.51043685,3
2018-07-31,2018,7,FY18-19,101.0,University Administration,University Administration,2199.0,19373.78842085,100
2018-07-31,2018,7,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,10895.15775277,75
2018-07-31,2018,7,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,47849.69746999,123
2018-07-31,2018,7,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,21179.55334752,53
2018-07-31,2018,7,FY18-19,125.0,School of Education,School of Education,253.0,2379.88135528,22
2018-07-31,2018,7,FY18-19,126.0,Carey Business School,Carey Business School,338.0,1977.56758176,7
2018-07-31,2018,7,FY18-19,130.0,Sheridan Libraries,Libraries,160.0,143.55292072,2
2018-07-31,2018,7,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,2077.64367156,12
2018-07-31,2018,7,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,13427.51419111,29
2018-07-31,2018,7,FY18-19,142.0,NANJING CENTER,SAIS,195.0,524.86536642,2
2018-07-31,2018,7,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,18385.33802032,49
2018-07-31,2018,7,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,51053.992072529996,104
2018-07-31,2018,7,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,79896.34480871,233
2018-07-31,2018,7,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,11871.67867325,39
2018-07-31,2018,7,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,93746.50732036,169
2018-07-31,2018,7,FY18-19,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,76.84762333,1
2018-08-31,2018,8,FY18-19,101.0,University Administration,University Administration,2199.0,34488.87043269,107
2018-08-31,2018,8,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,7522.78448881,53
2018-08-31,2018,8,FY18-19,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,293.3472728,4
2018-08-31,2018,8,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,18293.76225193,53
2018-08-31,2018,8,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,20919.0008047,47
2018-08-31,2018,8,FY18-19,125.0,School of Education,School of Education,253.0,4295.959952130001,18
2018-08-31,2018,8,FY18-19,126.0,Carey Business School,Carey Business School,338.0,237.17439078,2
2018-08-31,2018,8,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,14918.54042775,19
2018-08-31,2018,8,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,13450.42514288,41
2018-08-31,2018,8,FY18-19,142.0,NANJING CENTER,SAIS,195.0,1431.6600641799998,2
2018-08-31,2018,8,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,32452.87561471,77
2018-08-31,2018,8,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,10725.99954135,24
2018-08-31,2018,8,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,110039.40094932,237
2018-08-31,2018,8,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,7374.64574898,20
2018-08-31,2018,8,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,63834.58371989,115
2018-08-31,2018,8,FY18-19,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,306.41526966000004,3
2018-09-30,2018,9,FY18-19,101.0,University Administration,University Administration,2199.0,37003.49594436,129
2018-09-30,2018,9,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,28934.77218657,132
2018-09-30,2018,9,FY18-19,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,277.33546131,2
